,total_bill,tip,sex,smoker,day,time,size,tip_ratio,sum,percent,bpp,tpp,ratio_smoke,ratio_nonsmoker
29,19.65,3.0,Female,No,Sat,Dinner,2,0.15267175572519084,22.65,13.25,9.825,1.5,,0.15267175572519084
30,9.55,1.45,Male,No,Sat,Dinner,2,0.1518324607329843,11.0,13.18,4.775,0.725,,0.1518324607329843
31,18.35,2.5,Male,No,Sat,Dinner,4,0.13623978201634876,20.85,11.99,4.5875,0.625,,0.13623978201634876
32,15.06,3.0,Female,No,Sat,Dinner,2,0.199203187250996,18.060000000000002,16.61,7.53,1.5,,0.199203187250996
33,20.69,2.45,Female,No,Sat,Dinner,4,0.11841469308844853,23.14,10.59,5.1725,0.6125,,0.11841469308844853
34,17.78,3.27,Male,No,Sat,Dinner,2,0.1839145106861642,21.05,15.53,8.89,1.635,,0.1839145106861642
35,24.06,3.6,Male,No,Sat,Dinner,3,0.14962593516209477,27.66,13.02,8.02,1.2,,0.14962593516209477
36,16.31,2.0,Male,No,Sat,Dinner,3,0.12262415695892091,18.31,10.92,5.4366666666666665,0.6666666666666666,,0.12262415695892091
37,16.93,3.07,Female,No,Sat,Dinner,3,0.1813349084465446,20.0,15.35,5.6433333333333335,1.0233333333333332,,0.1813349084465446
38,18.69,2.31,Male,No,Sat,Dinner,3,0.12359550561797752,21.0,11.0,6.23,0.77,,0.12359550561797752
39,31.27,5.0,Male,No,Sat,Dinner,3,0.1598976654940838,36.269999999999996,13.79,10.423333333333334,1.6666666666666667,,0.1598976654940838
40,16.04,2.24,Male,No,Sat,Dinner,3,0.13965087281795513,18.28,12.25,5.346666666666667,0.7466666666666667,,0.13965087281795513
41,17.46,2.54,Male,No,Sun,Dinner,2,0.14547537227949597,20.0,12.7,8.73,1.27,,0.14547537227949597
42,13.94,3.06,Male,No,Sun,Dinner,2,0.21951219512195122,17.0,18.0,6.97,1.53,,0.21951219512195122
43,9.68,1.32,Male,No,Sun,Dinner,2,0.13636363636363638,11.0,12.0,4.84,0.66,,0.13636363636363638
44,30.4,5.6,Male,No,Sun,Dinner,4,0.18421052631578946,36.0,15.56,7.6,1.4,,0.18421052631578946
45,18.29,3.0,Male,No,Sun,Dinner,2,0.16402405686167304,21.29,14.09,9.145,1.5,,0.16402405686167304
46,22.23,5.0,Male,No,Sun,Dinner,2,0.22492127755285649,27.23,18.36,11.115,2.5,,0.22492127755285649
47,32.4,6.0,Male,No,Sun,Dinner,4,0.1851851851851852,38.4,15.62,8.1,1.5,,0.1851851851851852
48,28.55,2.05,Male,No,Sun,Dinner,3,0.07180385288966724,30.6,6.7,9.516666666666667,0.6833333333333332,,0.07180385288966724
49,18.04,3.0,Male,No,Sun,Dinner,2,0.16629711751662973,21.04,14.26,9.02,1.5,,0.16629711751662973
50,12.54,2.5,Male,No,Sun,Dinner,2,0.19936204146730463,15.04,16.62,6.27,1.25,,0.19936204146730463
51,10.29,2.6,Female,No,Sun,Dinner,2,0.2526724975704568,12.889999999999999,20.17,5.145,1.3,,0.2526724975704568
52,34.81,5.2,Female,No,Sun,Dinner,4,0.14938236139040506,40.010000000000005,13.0,8.7025,1.3,,0.14938236139040506
53,9.94,1.56,Male,No,Sun,Dinner,2,0.15694164989939638,11.5,13.57,4.97,0.78,,0.15694164989939638
54,25.56,4.34,Male,No,Sun,Dinner,4,0.1697965571205008,29.9,14.52,6.39,1.085,,0.1697965571205008
55,19.49,3.51,Male,No,Sun,Dinner,2,0.18009235505387378,23.0,15.26,9.745,1.755,,0.18009235505387378
56,38.01,3.0,Male,Yes,Sat,Dinner,4,0.07892659826361484,41.01,7.32,9.5025,0.75,0.07892659826361484,
57,26.41,1.5,Female,No,Sat,Dinner,2,0.05679666792881484,27.91,5.37,13.205,0.75,,0.05679666792881484
58,11.24,1.76,Male,Yes,Sat,Dinner,2,0.15658362989323843,13.0,13.54,5.62,0.88,0.15658362989323843,
59,48.27,6.73,Male,No,Sat,Dinner,4,0.13942407292314066,55.0,12.24,12.0675,1.6825,,0.13942407292314066
60,20.29,3.21,Male,Yes,Sat,Dinner,2,0.1582060128141942,23.5,13.66,10.145,1.605,0.1582060128141942,
61,13.81,2.0,Male,Yes,Sat,Dinner,2,0.1448225923244026,15.81,12.65,6.905,1.0,0.1448225923244026,
62,11.02,1.98,Male,Yes,Sat,Dinner,2,0.17967332123411978,13.0,15.23,5.51,0.99,0.17967332123411978,
63,18.29,3.76,Male,Yes,Sat,Dinner,4,0.20557681793329688,22.049999999999997,17.05,4.5725,0.94,0.20557681793329688,
64,17.59,2.64,Male,No,Sat,Dinner,3,0.15008527572484368,20.23,13.05,5.863333333333333,0.88,,0.15008527572484368
65,20.08,3.15,Male,No,Sat,Dinner,3,0.15687250996015936,23.229999999999997,13.56,6.6933333333333325,1.05,,0.15687250996015936
66,16.45,2.47,Female,No,Sat,Dinner,2,0.1501519756838906,18.919999999999998,13.05,8.225,1.235,,0.1501519756838906
67,3.07,1.0,Female,Yes,Sat,Dinner,1,0.32573289902280134,4.07,24.57,3.07,1.0,0.32573289902280134,
68,20.23,2.01,Male,No,Sat,Dinner,2,0.09935739001482945,22.240000000000002,9.04,10.115,1.005,,0.09935739001482945
69,15.01,2.09,Male,Yes,Sat,Dinner,2,0.13924050632911392,17.1,12.22,7.505,1.045,0.13924050632911392,
70,12.02,1.97,Male,No,Sat,Dinner,2,0.1638935108153078,13.99,14.08,6.01,0.985,,0.1638935108153078
71,17.07,3.0,Female,No,Sat,Dinner,3,0.1757469244288225,20.07,14.95,5.69,1.0,,0.1757469244288225
72,26.86,3.14,Female,Yes,Sat,Dinner,2,0.11690245718540582,30.0,10.47,13.43,1.57,0.11690245718540582,
73,25.28,5.0,Female,Yes,Sat,Dinner,2,0.19778481012658228,30.28,16.51,12.64,2.5,0.19778481012658228,
74,14.73,2.2,Female,No,Sat,Dinner,2,0.14935505770536323,16.93,12.99,7.365,1.1,,0.14935505770536323
75,10.51,1.25,Male,No,Sat,Dinner,2,0.11893434823977164,11.76,10.63,5.255,0.625,,0.11893434823977164
76,17.92,3.08,Male,Yes,Sat,Dinner,2,0.171875,21.0,14.67,8.96,1.54,0.171875,
77,27.2,4.0,Male,No,Thur,Lunch,4,0.14705882352941177,31.2,12.82,6.8,1.0,,0.14705882352941177
78,22.76,3.0,Male,No,Thur,Lunch,2,0.13181019332161686,25.76,11.65,11.38,1.5,,0.13181019332161686
79,17.29,2.71,Male,No,Thur,Lunch,2,0.156737998843262,20.0,13.55,8.645,1.355,,0.156737998843262
80,19.44,3.0,Male,Yes,Thur,Lunch,2,0.15432098765432098,22.44,13.37,9.72,1.5,0.15432098765432098,
81,16.66,3.4,Male,No,Thur,Lunch,2,0.20408163265306123,20.06,16.95,8.33,1.7,,0.20408163265306123
82,10.07,1.83,Female,No,Thur,Lunch,1,0.1817279046673287,11.9,15.38,10.07,1.83,,0.1817279046673287
83,32.68,5.0,Male,Yes,Thur,Lunch,2,0.15299877600979192,37.68,13.27,16.34,2.5,0.15299877600979192,
84,15.98,2.03,Male,No,Thur,Lunch,2,0.12703379224030037,18.01,11.27,7.99,1.015,,0.12703379224030037
85,34.83,5.17,Female,No,Thur,Lunch,4,0.14843525696238874,40.0,12.92,8.7075,1.2925,,0.14843525696238874
86,13.03,2.0,Male,No,Thur,Lunch,2,0.15349194167306218,15.03,13.31,6.515,1.0,,0.15349194167306218
87,18.28,4.0,Male,No,Thur,Lunch,2,0.2188183807439825,22.28,17.95,9.14,2.0,,0.2188183807439825
88,24.71,5.85,Male,No,Thur,Lunch,2,0.23674625657628487,30.560000000000002,19.14,12.355,2.925,,0.23674625657628487
89,21.16,3.0,Male,No,Thur,Lunch,2,0.14177693761814744,24.16,12.42,10.58,1.5,,0.14177693761814744
90,28.97,3.0,Male,Yes,Fri,Dinner,2,0.10355540214014498,31.97,9.38,14.485,1.5,0.10355540214014498,
91,22.49,3.5,Male,No,Fri,Dinner,2,0.15562472209871056,25.99,13.47,11.245,1.75,,0.15562472209871056
92,5.75,1.0,Female,Yes,Fri,Dinner,2,0.17391304347826086,6.75,14.81,2.875,0.5,0.17391304347826086,
93,16.32,4.3,Female,Yes,Fri,Dinner,2,0.26348039215686275,20.62,20.85,8.16,2.15,0.26348039215686275,
94,22.75,3.25,Female,No,Fri,Dinner,2,0.14285714285714285,26.0,12.5,11.375,1.625,,0.14285714285714285
95,40.17,4.73,Male,Yes,Fri,Dinner,4,0.1177495643515061,44.900000000000006,10.53,10.0425,1.1825,0.1177495643515061,
96,27.28,4.0,Male,Yes,Fri,Dinner,2,0.14662756598240467,31.28,12.79,13.64,2.0,0.14662756598240467,
97,12.03,1.5,Male,Yes,Fri,Dinner,2,0.12468827930174564,13.53,11.09,6.015,0.75,0.12468827930174564,
98,21.01,3.0,Male,Yes,Fri,Dinner,2,0.1427891480247501,24.01,12.49,10.505,1.5,0.1427891480247501,
99,12.46,1.5,Male,No,Fri,Dinner,2,0.1203852327447833,13.96,10.74,6.23,0.75,,0.1203852327447833
100,11.35,2.5,Female,Yes,Fri,Dinner,2,0.22026431718061676,13.85,18.05,5.675,1.25,0.22026431718061676,
101,15.38,3.0,Female,Yes,Fri,Dinner,2,0.19505851755526657,18.380000000000003,16.32,7.69,1.5,0.19505851755526657,
102,44.3,2.5,Female,Yes,Sat,Dinner,3,0.05643340857787811,46.8,5.34,14.766666666666666,0.8333333333333334,0.05643340857787811,
103,22.42,3.48,Female,Yes,Sat,Dinner,2,0.15521855486173058,25.900000000000002,13.44,11.21,1.74,0.15521855486173058,
104,20.92,4.08,Female,No,Sat,Dinner,2,0.1950286806883365,25.0,16.32,10.46,2.04,,0.1950286806883365
105,15.36,1.64,Male,Yes,Sat,Dinner,2,0.10677083333333333,17.0,9.65,7.68,0.82,0.10677083333333333,
106,20.49,4.06,Male,Yes,Sat,Dinner,2,0.19814543679843827,24.549999999999997,16.54,10.245,2.03,0.19814543679843827,
107,25.21,4.29,Male,Yes,Sat,Dinner,2,0.1701705672352241,29.5,14.54,12.605,2.145,0.1701705672352241,
108,18.24,3.76,Male,No,Sat,Dinner,2,0.20614035087719298,22.0,17.09,9.12,1.88,,0.20614035087719298
109,14.31,4.0,Female,Yes,Sat,Dinner,2,0.2795248078266946,18.310000000000002,21.85,7.155,2.0,0.2795248078266946,
110,14.0,3.0,Male,No,Sat,Dinner,2,0.21428571428571427,17.0,17.65,7.0,1.5,,0.21428571428571427
111,7.25,1.0,Female,No,Sat,Dinner,1,0.13793103448275862,8.25,12.12,7.25,1.0,,0.13793103448275862
112,38.07,4.0,Male,No,Sun,Dinner,3,0.10506960861570791,42.07,9.51,12.69,1.3333333333333333,,0.10506960861570791
113,23.95,2.55,Male,No,Sun,Dinner,2,0.10647181628392484,26.5,9.62,11.975,1.275,,0.10647181628392484
114,25.71,4.0,Female,No,Sun,Dinner,3,0.15558148580318942,29.71,13.46,8.57,1.3333333333333333,,0.15558148580318942
115,17.31,3.5,Female,No,Sun,Dinner,2,0.20219526285384173,20.81,16.82,8.655,1.75,,0.20219526285384173
116,29.93,5.07,Male,No,Sun,Dinner,4,0.1693952555963916,35.0,14.49,7.4825,1.2675,,0.1693952555963916
117,10.65,1.5,Female,No,Thur,Lunch,2,0.14084507042253522,12.15,12.35,5.325,0.75,,0.14084507042253522
118,12.43,1.8,Female,No,Thur,Lunch,2,0.14481094127111827,14.23,12.65,6.215,0.9,,0.14481094127111827
119,24.08,2.92,Female,No,Thur,Lunch,4,0.1212624584717608,27.0,10.81,6.02,0.73,,0.1212624584717608
120,11.69,2.31,Male,No,Thur,Lunch,2,0.19760479041916168,14.0,16.5,5.845,1.155,,0.19760479041916168
121,13.42,1.68,Female,No,Thur,Lunch,2,0.12518628912071533,15.1,11.13,6.71,0.84,,0.12518628912071533
122,14.26,2.5,Male,No,Thur,Lunch,2,0.1753155680224404,16.759999999999998,14.92,7.13,1.25,,0.1753155680224404
123,15.95,2.0,Male,No,Thur,Lunch,2,0.12539184952978058,17.95,11.14,7.975,1.0,,0.12539184952978058
124,12.48,2.52,Female,No,Thur,Lunch,2,0.20192307692307693,15.0,16.8,6.24,1.26,,0.20192307692307693
125,29.8,4.2,Female,No,Thur,Lunch,6,0.14093959731543623,34.0,12.35,4.966666666666667,0.7000000000000001,,0.14093959731543623
126,8.52,1.48,Male,No,Thur,Lunch,2,0.17370892018779344,10.0,14.8,4.26,0.74,,0.17370892018779344
127,14.52,2.0,Female,No,Thur,Lunch,2,0.13774104683195593,16.52,12.11,7.26,1.0,,0.13774104683195593
128,11.38,2.0,Female,No,Thur,Lunch,2,0.17574692442882248,13.38,14.95,5.69,1.0,,0.17574692442882248
129,22.82,2.18,Male,No,Thur,Lunch,3,0.09553023663453111,25.0,8.72,7.6066666666666665,0.7266666666666667,,0.09553023663453111
130,19.08,1.5,Male,No,Thur,Lunch,2,0.07861635220125787,20.58,7.29,9.54,0.75,,0.07861635220125787
131,20.27,2.83,Female,No,Thur,Lunch,2,0.13961519486926494,23.1,12.25,10.135,1.415,,0.13961519486926494
132,11.17,1.5,Female,No,Thur,Lunch,2,0.13428827215756492,12.67,11.84,5.585,0.75,,0.13428827215756492
133,12.26,2.0,Female,No,Thur,Lunch,2,0.1631321370309951,14.26,14.03,6.13,1.0,,0.1631321370309951
134,18.26,3.25,Female,No,Thur,Lunch,2,0.17798466593647316,21.51,15.11,9.13,1.625,,0.17798466593647316
135,8.51,1.25,Female,No,Thur,Lunch,2,0.14688601645123384,9.76,12.81,4.255,0.625,,0.14688601645123384
136,10.33,2.0,Female,No,Thur,Lunch,2,0.1936108422071636,12.33,16.22,5.165,1.0,,0.1936108422071636
137,14.15,2.0,Female,No,Thur,Lunch,2,0.1413427561837456,16.15,12.38,7.075,1.0,,0.1413427561837456
138,16.0,2.0,Male,Yes,Thur,Lunch,2,0.125,18.0,11.11,8.0,1.0,0.125,
139,13.16,2.75,Female,No,Thur,Lunch,2,0.20896656534954408,15.91,17.28,6.58,1.375,,0.20896656534954408
140,17.47,3.5,Female,No,Thur,Lunch,2,0.20034344590726963,20.97,16.69,8.735,1.75,,0.20034344590726963
141,34.3,6.7,Male,No,Thur,Lunch,6,0.19533527696793004,41.0,16.34,5.716666666666666,1.1166666666666667,,0.19533527696793004
142,41.19,5.0,Male,No,Thur,Lunch,5,0.12138868657441128,46.19,10.82,8.238,1.0,,0.12138868657441128
143,27.05,5.0,Female,No,Thur,Lunch,6,0.18484288354898337,32.05,15.6,4.508333333333334,0.8333333333333334,,0.18484288354898337
144,16.43,2.3,Female,No,Thur,Lunch,2,0.1399878271454656,18.73,12.28,8.215,1.15,,0.1399878271454656
145,8.35,1.5,Female,No,Thur,Lunch,2,0.17964071856287425,9.85,15.23,4.175,0.75,,0.17964071856287425
146,18.64,1.36,Female,No,Thur,Lunch,3,0.07296137339055794,20.0,6.8,6.213333333333334,0.45333333333333337,,0.07296137339055794
147,11.87,1.63,Female,No,Thur,Lunch,2,0.13732097725358045,13.5,12.07,5.935,0.815,,0.13732097725358045
148,9.78,1.73,Male,No,Thur,Lunch,2,0.1768916155419223,11.51,15.03,4.89,0.865,,0.1768916155419223
149,7.51,2.0,Male,No,Thur,Lunch,2,0.2663115845539281,9.51,21.03,3.755,1.0,,0.2663115845539281
150,14.07,2.5,Male,No,Sun,Dinner,2,0.17768301350390903,16.57,15.09,7.035,1.25,,0.17768301350390903
151,13.13,2.0,Male,No,Sun,Dinner,2,0.15232292460015232,15.13,13.22,6.565,1.0,,0.15232292460015232
152,17.26,2.74,Male,No,Sun,Dinner,3,0.15874855156431053,20.0,13.7,5.753333333333334,0.9133333333333334,,0.15874855156431053
153,24.55,2.0,Male,No,Sun,Dinner,4,0.0814663951120163,26.55,7.53,6.1375,0.5,,0.0814663951120163
154,19.77,2.0,Male,No,Sun,Dinner,4,0.10116337885685382,21.77,9.19,4.9425,0.5,,0.10116337885685382
155,29.85,5.14,Female,No,Sun,Dinner,5,0.1721943048576214,34.99,14.69,5.970000000000001,1.028,,0.1721943048576214
156,48.17,5.0,Male,No,Sun,Dinner,6,0.10379904504878555,53.17,9.4,8.028333333333334,0.8333333333333334,,0.10379904504878555
157,25.0,3.75,Female,No,Sun,Dinner,4,0.15,28.75,13.04,6.25,0.9375,,0.15
158,13.39,2.61,Female,No,Sun,Dinner,2,0.19492158327109782,16.0,16.31,6.695,1.305,,0.19492158327109782
159,16.49,2.0,Male,No,Sun,Dinner,4,0.12128562765312312,18.49,10.82,4.1225,0.5,,0.12128562765312312
160,21.5,3.5,Male,No,Sun,Dinner,4,0.16279069767441862,25.0,14.0,5.375,0.875,,0.16279069767441862
161,12.66,2.5,Male,No,Sun,Dinner,2,0.19747235387045814,15.16,16.49,6.33,1.25,,0.19747235387045814
162,16.21,2.0,Female,No,Sun,Dinner,3,0.12338062924120913,18.21,10.98,5.403333333333333,0.6666666666666666,,0.12338062924120913
163,13.81,2.0,Male,No,Sun,Dinner,2,0.1448225923244026,15.81,12.65,6.905,1.0,,0.1448225923244026
164,17.51,3.0,Female,Yes,Sun,Dinner,2,0.17133066818960593,20.51,14.63,8.755,1.5,0.17133066818960593,
165,24.52,3.48,Male,No,Sun,Dinner,3,0.14192495921696574,28.0,12.43,8.173333333333334,1.16,,0.14192495921696574
166,20.76,2.24,Male,No,Sun,Dinner,2,0.10789980732177264,23.0,9.74,10.38,1.12,,0.10789980732177264
167,31.71,4.5,Male,No,Sun,Dinner,4,0.14191106906338694,36.21,12.43,7.9275,1.125,,0.14191106906338694
168,10.59,1.61,Female,Yes,Sat,Dinner,2,0.15203021718602455,12.2,13.2,5.295,0.805,0.15203021718602455,
169,10.63,2.0,Female,Yes,Sat,Dinner,2,0.18814675446848542,12.63,15.84,5.315,1.0,0.18814675446848542,
170,50.81,10.0,Male,Yes,Sat,Dinner,3,0.19681165124975397,60.81,16.44,16.936666666666667,3.3333333333333335,0.19681165124975397,
171,15.81,3.16,Male,Yes,Sat,Dinner,2,0.19987349778621127,18.97,16.66,7.905,1.58,0.19987349778621127,
172,7.25,5.15,Male,Yes,Sun,Dinner,2,0.710344827586207,12.4,41.53,3.625,2.575,0.710344827586207,
173,31.85,3.18,Male,Yes,Sun,Dinner,2,0.09984301412872841,35.03,9.08,15.925,1.59,0.09984301412872841,
174,16.82,4.0,Male,Yes,Sun,Dinner,2,0.23781212841854935,20.82,19.21,8.41,2.0,0.23781212841854935,
175,32.9,3.11,Male,Yes,Sun,Dinner,2,0.0945288753799392,36.01,8.64,16.45,1.555,0.0945288753799392,
176,17.89,2.0,Male,Yes,Sun,Dinner,2,0.11179429849077696,19.89,10.06,8.945,1.0,0.11179429849077696,
177,14.48,2.0,Male,Yes,Sun,Dinner,2,0.13812154696132597,16.48,12.14,7.24,1.0,0.13812154696132597,
178,9.6,4.0,Female,Yes,Sun,Dinner,2,0.4166666666666667,13.6,29.41,4.8,2.0,0.4166666666666667,
179,34.63,3.55,Male,Yes,Sun,Dinner,2,0.102512272596015,38.18,9.3,17.315,1.775,0.102512272596015,
180,34.65,3.68,Male,Yes,Sun,Dinner,4,0.10620490620490622,38.33,9.6,8.6625,0.92,0.10620490620490622,
181,23.33,5.65,Male,Yes,Sun,Dinner,2,0.2421774539219889,28.979999999999997,19.5,11.665,2.825,0.2421774539219889,
182,45.35,3.5,Male,Yes,Sun,Dinner,3,0.07717750826901874,48.85,7.16,15.116666666666667,1.1666666666666667,0.07717750826901874,
183,23.17,6.5,Male,Yes,Sun,Dinner,4,0.2805351747949935,29.67,21.91,5.7925,1.625,0.2805351747949935,
184,40.55,3.0,Male,Yes,Sun,Dinner,2,0.07398273736128237,43.55,6.89,20.275,1.5,0.07398273736128237,
185,20.69,5.0,Male,No,Sun,Dinner,5,0.2416626389560174,25.69,19.46,4.138,1.0,,0.2416626389560174
186,20.9,3.5,Female,Yes,Sun,Dinner,3,0.1674641148325359,24.4,14.34,6.966666666666666,1.1666666666666667,0.1674641148325359,
187,30.46,2.0,Male,Yes,Sun,Dinner,5,0.06565988181221273,32.46,6.16,6.0920000000000005,0.4,0.06565988181221273,
188,18.15,3.5,Female,Yes,Sun,Dinner,3,0.1928374655647383,21.65,16.17,6.05,1.1666666666666667,0.1928374655647383,
189,23.1,4.0,Male,Yes,Sun,Dinner,3,0.17316017316017315,27.1,14.76,7.7,1.3333333333333333,0.17316017316017315,
190,15.69,1.5,Male,Yes,Sun,Dinner,2,0.09560229445506692,17.189999999999998,8.73,7.845,0.75,0.09560229445506692,
191,19.81,4.19,Female,Yes,Thur,Lunch,2,0.21150933871781932,24.0,17.46,9.905,2.095,0.21150933871781932,
192,28.44,2.56,Male,Yes,Thur,Lunch,2,0.090014064697609,31.0,8.26,14.22,1.28,0.090014064697609,
193,15.48,2.02,Male,Yes,Thur,Lunch,2,0.13049095607235142,17.5,11.54,7.74,1.01,0.13049095607235142,
194,16.58,4.0,Male,Yes,Thur,Lunch,2,0.24125452352231608,20.58,19.44,8.29,2.0,0.24125452352231608,
195,7.56,1.44,Male,No,Thur,Lunch,2,0.19047619047619047,9.0,16.0,3.78,0.72,,0.19047619047619047
196,10.34,2.0,Male,Yes,Thur,Lunch,2,0.19342359767891684,12.34,16.21,5.17,1.0,0.19342359767891684,
197,43.11,5.0,Female,Yes,Thur,Lunch,4,0.1159823706796567,48.11,10.39,10.7775,1.25,0.1159823706796567,
198,13.0,2.0,Female,Yes,Thur,Lunch,2,0.15384615384615385,15.0,13.33,6.5,1.0,0.15384615384615385,
199,13.51,2.0,Male,Yes,Thur,Lunch,2,0.14803849000740193,15.51,12.89,6.755,1.0,0.14803849000740193,
200,18.71,4.0,Male,Yes,Thur,Lunch,3,0.2137894174238375,22.71,17.61,6.236666666666667,1.3333333333333333,0.2137894174238375,
201,12.74,2.01,Female,Yes,Thur,Lunch,2,0.15777080062794346,14.75,13.63,6.37,1.005,0.15777080062794346,
202,13.0,2.0,Female,Yes,Thur,Lunch,2,0.15384615384615385,15.0,13.33,6.5,1.0,0.15384615384615385,
203,16.4,2.5,Female,Yes,Thur,Lunch,2,0.15243902439024393,18.9,13.23,8.2,1.25,0.15243902439024393,
204,20.53,4.0,Male,Yes,Thur,Lunch,4,0.1948368241597662,24.53,16.31,5.1325,1.0,0.1948368241597662,
205,16.47,3.23,Female,Yes,Thur,Lunch,3,0.19611414693381907,19.7,16.4,5.489999999999999,1.0766666666666667,0.19611414693381907,
206,26.59,3.41,Male,Yes,Sat,Dinner,3,0.1282437006393381,30.0,11.37,8.863333333333333,1.1366666666666667,0.1282437006393381,
207,38.73,3.0,Male,Yes,Sat,Dinner,4,0.0774593338497289,41.73,7.19,9.6825,0.75,0.0774593338497289,
208,24.27,2.03,Male,Yes,Sat,Dinner,2,0.08364235681911825,26.3,7.72,12.135,1.015,0.08364235681911825,
209,12.76,2.23,Female,Yes,Sat,Dinner,2,0.17476489028213166,14.99,14.88,6.38,1.115,0.17476489028213166,
210,30.06,2.0,Male,Yes,Sat,Dinner,3,0.06653359946773121,32.06,6.24,10.02,0.6666666666666666,0.06653359946773121,
211,25.89,5.16,Male,Yes,Sat,Dinner,4,0.1993047508690614,31.05,16.62,6.4725,1.29,0.1993047508690614,
212,48.33,9.0,Male,No,Sat,Dinner,4,0.186219739292365,57.33,15.7,12.0825,2.25,,0.186219739292365
213,13.27,2.5,Female,Yes,Sat,Dinner,2,0.18839487565938207,15.77,15.85,6.635,1.25,0.18839487565938207,
214,28.17,6.5,Female,Yes,Sat,Dinner,3,0.23074192403265883,34.67,18.75,9.39,2.1666666666666665,0.23074192403265883,
215,12.9,1.1,Female,Yes,Sat,Dinner,2,0.08527131782945736,14.0,7.86,6.45,0.55,0.08527131782945736,
216,28.15,3.0,Male,Yes,Sat,Dinner,5,0.10657193605683837,31.15,9.63,5.63,0.6,0.10657193605683837,
217,11.59,1.5,Male,Yes,Sat,Dinner,2,0.12942191544434858,13.09,11.46,5.795,0.75,0.12942191544434858,
218,7.74,1.44,Male,Yes,Sat,Dinner,2,0.18604651162790697,9.18,15.69,3.87,0.72,0.18604651162790697,
